outcome,rel_year,diff,n_treated
hw_days,-5,0.8771186440677967,31
hw_days,-4,-1.6655861581920908,32
hw_days,-3,1.2167725988700564,32
hw_days,-2,-0.08582138200782286,39
hw_days,-1,-1.0729104353605852,48
hw_days,0,-1.5389178617992174,260
hw_days,1,-2.8228111033694283,259
hw_days,2,-0.8129865230563142,259
hw_days,3,4.86939507353426,257
hw_days,4,-2.337258212188205,253
hw_days,5,-0.52931229078842,251
tmax_anom,-5,0.14478594064712524,31
tmax_anom,-4,-0.16976359486579895,32
tmax_anom,-3,-0.0568150170147419,32
tmax_anom,-2,0.12233534455299377,39
tmax_anom,-1,-0.17237456142902374,48
tmax_anom,0,-0.3816796839237213,260
tmax_anom,1,-0.475836843252182,259
tmax_anom,2,-0.08608658611774445,259
tmax_anom,3,0.6997882127761841,257
tmax_anom,4,-0.45764726400375366,253
tmax_anom,5,-0.13606995344161987,251
