country,slope_MW_per_C,slope_se,cdd_base,m1_cv_r2,sign_stable,use_shrunk_primary
DE,23.971760933652796,5.991125574973982,20.0,-0.11195588133959711,True,False
FR,336.18806575864426,56.86067713002922,22.0,-0.2285484631067404,True,False
GB,0.0,0.0,22.0,-1.395387965568144,False,True
ES,175.9677032131679,39.987470607782164,22.0,-0.9923747500350406,True,False
IT,20.163872010767314,8.319726826471406,20.0,-6.5063457829942095,True,False
NL,44.90793405270915,17.380958801234303,20.0,-7.266286394002445,True,False
BE,20.958865261234656,7.027687721301333,20.0,-1.8686500244017559,True,False
DK,27.410516549681414,71.98600344804427,24.0,-0.24420658536807385,False,True
AT,2.3973220956727803,8.358487718775375,20.0,-1.5599087054121916,True,True
PL,62.43982353377481,12.365175500384042,20.0,-1.6803684561494563,True,False
SE,-16.081007094047514,43.10739635723582,24.0,-0.7348868682664977,True,True
NO,32.25546947815948,25.833479965883487,20.0,-19.170529925438824,False,True
FI,23.591079841949234,24.19601119380022,20.0,-2.1343095367642597,False,True
IE,89.18349699795387,15.425673553412055,22.0,-0.8088864270295101,True,False
PT,52.00382036963951,7.937341828385959,24.0,-0.8057716573580297,True,False
CZ,16.231642862629016,4.858201431470862,20.0,-1.9673290215078676,True,False
CH,-18.59243654429361,19.099838001622857,22.0,-4.871568337860837,False,True
